station_id,name,lat,lon
361,Mendell St at Fairfax Ave,37.7398,-122.3857
362,Lane St at Revere Ave,37.7318,-122.39
363,Salesforce Transit Center (Natoma St at 2nd St),37.7874,-122.3984
364,China Basin St at 3rd St,37.772,-122.3901
365,Turk St at Fillmore St,37.7807,-122.4321
368,Myrtle St at Polk St,37.7855,-122.4194
369,Hyde St at Post St,37.7876,-122.4167
370,Jones St at Post St,37.7872,-122.4135
371,Lombard St at Columbus Ave,37.8028,-122.4133
372,Madison St at 17th St,37.804,-122.2624
373,Potrero del Sol Park (25th St at Utah St),37.7518,-122.4055
375,Grove St at Masonic Ave,37.7749,-122.4465
376,Illinois St at 20th St,37.7604,-122.3875
377,Fell St at Stanyan St,37.7719,-122.4538
378,7th St at Empire St,37.3475,-121.8905
380,Masonic Ave at Turk St,37.7792,-122.4474
381,20th St at Dolores St,37.7582,-122.426
383,Golden Gate Ave at Franklin St,37.781,-122.4217
384,Jackson St at Polk St,37.794,-122.4218
385,Woolsey St at Sacramento St,37.8506,-122.2782
386,24th St at Bartlett St,37.7521,-122.42
387,Randall St at Chenery St,37.7399,-122.4252
388,Backesto Park (Jackson St at 13th St),37.353,-121.886
389,Taylor St at 9th St,37.3531,-121.892
390,Indiana St at Cesar Chavez St,37.7503,-122.3905
391,1st St at Younger Ave,37.355,-121.9044
392,Sonora Ave at 1st St,37.3641,-121.9118
393,Asbury St at The Alameda,37.3381,-121.9193
394,10th St at Empire St,37.3495,-121.8877
395,Kerley Dr at Rosemary St,37.361,-121.907
396,Metro Dr at Technology Dr,37.3681,-121.9186
397,Gish Rd at 1st St,37.3622,-121.9087
398,Leavenworth St at Broadway,37.7964,-122.4168
399,Bay St at Fillmore St,37.8026,-122.4361
400,Buchanan St at North Point St,37.8045,-122.4335
401,Skyport Dr at Technology Dr,37.3654,-121.9166
402,Raymond Bernal Jr Memorial Park (8th St at Hedding St),37.3566,-121.8958
403,10th St at Mission St,37.3553,-121.8921
404,21st St at Santa Clara St,37.3459,-121.8708
405,Sunol St at San Carlos St,37.3233,-121.9061
