day,hour,B32018,D32021,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,D32003,S32002,S32003,S32001,S32006,S32004,S32005,S32008,S32009,D32002,M32020,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,M32022,M32023,D32001,D32000,M32026,M32027,M32024,M32025,D32009,M32029,X32000,C32024,C32020,C32021,C32022,C32023,M32031,M32030,M32033,M32032,M32034,M32037,M32036,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32008,M32009,M32005,B32003,B32002,B32005,B32004,B32007,M32003,B32013,A32019,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,M32007,M32001,M32002,B32006,C32014,total
1,6,2,5,0,0,0,0,0,0,1,3,0,13,4,4,1,0,0,3,1,5,2,16,2,11,6,47,2,4,1,0,1,5,10,2,7,7,7,1,5,5,1,0,1,25,3,2,0,0,0,1,6,7,13,3,5,0,0,0,0,2,16,0,0,1,0,3,1,1,0,0,0,0,0,2,2,0,0,5,0,0,3,5,0,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,3,1,0,0,0,0,1,10,1,1,4,0,1,1,6,15,0,0,1,0,4,0,1,2,4,2,11,0,1,3,2,1,7,1,2,0,0,399
1,7,16,25,5,1,4,3,0,1,3,4,6,16,49,7,13,3,4,5,12,5,5,20,1,19,4,89,0,9,5,1,4,48,22,7,17,4,15,6,22,2,9,7,0,44,7,5,4,3,5,5,20,15,24,6,0,6,1,10,0,8,31,2,1,8,0,20,6,12,0,2,3,4,6,3,1,2,1,9,0,0,21,14,1,11,13,3,37,0,6,0,1,0,1,1,8,3,4,6,15,2,6,1,11,4,17,3,3,0,2,5,12,21,8,11,10,0,0,2,11,10,1,1,3,2,21,0,5,9,12,8,9,0,3,10,14,6,12,12,12,3,0,1199
1,8,14,24,7,0,9,12,1,5,6,3,17,36,50,17,20,3,13,17,9,5,2,15,6,21,8,125,3,12,6,5,25,44,26,7,33,25,24,9,17,13,9,13,0,78,15,7,1,8,7,1,22,18,37,10,8,5,3,11,6,7,28,6,5,11,0,17,20,24,1,1,10,8,7,8,6,10,13,20,5,0,24,34,14,13,24,17,17,0,2,0,1,1,0,10,11,2,2,4,12,2,9,6,20,6,21,2,6,7,8,10,10,16,8,17,26,0,2,7,33,38,0,7,0,5,35,2,13,29,41,26,52,5,1,19,15,13,29,8,18,8,0,1928
1,9,12,14,1,1,9,2,3,3,7,10,10,11,18,14,4,1,10,19,9,5,2,12,5,3,4,23,2,7,2,3,6,15,4,10,4,16,8,5,5,6,4,17,1,29,6,1,4,7,5,10,16,9,12,11,6,5,2,3,5,10,5,2,2,3,0,7,8,6,1,1,6,4,7,2,2,2,4,4,7,0,13,29,18,11,9,5,6,0,5,0,0,3,0,4,7,2,3,5,6,3,1,7,15,11,6,0,2,16,2,11,7,5,9,11,17,3,5,9,7,21,2,6,1,1,16,4,4,17,39,17,14,10,3,15,6,20,12,21,14,5,0,1062
1,10,8,1,9,2,3,2,8,3,2,5,5,0,8,9,5,10,8,2,4,1,1,7,4,4,0,8,0,1,3,3,2,18,4,2,4,6,5,3,2,8,6,5,0,8,7,2,2,3,7,2,9,1,14,6,1,2,3,8,4,3,1,1,2,0,1,7,0,0,2,2,3,0,2,2,3,3,0,7,5,1,8,7,5,7,4,1,5,0,1,0,0,2,0,0,6,0,4,0,12,2,1,4,9,4,7,3,1,4,1,1,2,6,4,10,11,12,3,6,7,4,2,1,2,9,4,5,2,7,9,18,4,5,8,8,1,18,3,5,21,1,0,612
1,11,9,5,0,4,0,8,3,8,2,4,5,6,5,5,4,2,2,6,1,2,5,7,9,1,2,3,1,1,4,2,6,9,5,2,6,6,5,2,0,3,4,6,3,10,1,3,1,1,7,9,10,2,6,3,6,6,3,9,11,4,4,8,1,0,1,14,0,4,0,0,6,0,0,1,0,1,0,4,4,0,9,5,7,3,3,2,5,0,0,4,1,1,7,3,8,2,5,5,13,1,5,2,17,4,6,1,1,7,1,1,0,7,4,11,14,10,7,5,5,3,1,16,2,6,8,4,12,5,9,7,6,10,15,12,8,22,2,4,13,3,1,674
1,12,13,6,2,3,2,4,9,3,3,16,7,4,4,7,2,0,5,3,1,2,1,5,2,1,2,5,7,3,4,2,9,10,7,6,4,10,6,2,3,9,1,2,3,10,1,1,0,0,9,12,8,4,9,6,17,4,2,9,9,7,6,9,0,2,0,26,3,1,1,0,9,2,4,3,0,1,0,2,7,1,7,5,4,4,3,0,4,0,7,8,7,4,4,4,2,4,2,3,8,0,2,3,9,5,8,0,3,8,3,1,2,2,1,17,16,18,17,8,2,2,0,13,1,3,6,8,17,10,7,12,9,6,7,10,6,30,8,10,7,1,0,763
1,13,7,6,4,4,1,8,9,9,0,7,6,7,4,6,2,0,14,1,2,0,1,4,5,5,6,7,2,5,4,0,8,12,7,3,2,5,7,2,0,8,5,2,2,19,0,0,0,2,8,8,10,4,14,3,14,4,1,12,1,7,5,6,5,0,0,13,2,1,2,0,4,0,2,1,1,1,1,8,4,1,5,3,1,5,1,2,1,0,3,3,3,0,1,2,3,4,7,1,18,0,4,2,7,3,6,2,5,6,0,2,2,4,2,15,13,10,14,4,9,6,2,7,6,2,4,9,14,8,5,10,2,6,8,7,7,21,2,5,11,5,0,683
1,14,12,7,3,1,2,4,9,5,3,5,6,3,2,4,5,2,7,0,0,0,5,5,2,2,4,7,1,1,6,2,7,7,0,7,6,6,4,2,4,12,4,2,5,10,1,1,0,1,8,5,12,6,4,2,8,2,3,2,9,6,6,3,0,1,0,5,0,2,1,3,3,0,1,1,1,0,0,1,14,0,5,1,4,3,2,3,2,0,1,3,1,1,0,2,2,1,10,1,15,0,0,2,8,8,15,1,2,4,0,0,0,2,1,7,15,23,19,3,8,10,1,5,3,0,7,8,13,4,9,16,7,6,8,7,3,31,3,1,13,7,1,641
1,15,2,9,9,10,2,5,10,11,4,4,3,5,3,4,2,2,5,3,4,0,4,3,7,1,3,5,11,4,5,0,8,7,5,7,3,5,1,0,2,9,2,7,8,16,0,0,0,4,8,7,7,12,5,6,8,6,8,11,11,11,11,12,0,0,0,10,1,0,0,0,6,0,2,3,0,1,2,4,5,1,12,4,6,5,2,3,4,0,2,4,3,1,1,3,3,0,4,0,10,3,5,2,13,3,8,2,5,6,6,2,0,5,2,10,17,25,14,3,8,2,4,10,4,3,3,8,18,8,11,15,3,4,4,6,6,25,10,7,13,6,0,758
