day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32012,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,D32000,D32007,M32027,C32011,C32010,C32013,C32012,C32015,C32014,C32017,C32016,C32019,C32018,D32004,E32004,E32005,E32006,E32001,E32002,E32003,D32003,M32023,M32020,M32021,M32026,D32006,D32005,M32025,D32009,M32029,M32024,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,B32020,K32002,K32003,K32001,K32004,B32009,B32008,M32009,M32005,B32003,B32002,B32005,M32001,M32002,B32006,B32013,D32008,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,A32017,B32000,M32006,M32007,B32004,B32007,M32003,total
1,6,2,0,2,2,0,0,1,5,0,1,19,1,2,2,4,2,7,0,0,0,7,12,2,5,59,3,8,0,2,0,13,11,2,15,6,19,5,0,4,3,0,0,24,5,0,0,7,3,4,20,19,2,0,2,1,2,15,4,0,0,4,0,0,3,0,1,3,0,0,2,2,1,0,1,0,0,4,0,2,0,7,17,1,4,1,7,4,6,0,0,0,1,7,1,19,1,2,4,0,0,4,5,1,0,7,1,0,0,4,5,5,2,1,2,5,0,0,2,3,6,4,1,1,7,0,10,3,1,8,0,1,528
1,7,9,2,7,6,0,8,6,15,4,7,47,8,22,2,7,2,7,11,1,4,28,20,34,8,136,5,17,0,3,4,52,18,7,20,16,27,5,0,5,10,14,1,73,13,2,0,7,2,30,21,51,10,6,16,0,11,26,3,8,0,14,1,7,0,0,5,8,2,0,12,1,2,0,4,0,1,51,0,1,3,14,48,6,8,3,25,10,7,8,6,5,0,13,16,38,2,3,16,0,10,8,22,6,0,9,8,4,1,6,26,8,14,8,5,22,2,3,10,18,13,17,0,0,27,22,20,9,10,9,3,4,1548
1,8,33,8,16,10,7,4,6,16,6,9,35,11,30,16,18,4,15,15,5,11,48,48,40,15,160,1,26,0,5,20,95,38,12,56,31,23,14,1,32,17,23,1,88,32,11,1,11,20,71,26,30,24,12,13,1,12,48,21,11,0,17,1,17,3,0,5,25,1,1,10,2,4,0,3,7,5,121,6,10,6,42,56,31,19,29,22,16,18,5,22,7,6,38,24,33,4,12,12,0,29,15,42,17,0,23,42,5,3,14,31,27,22,16,5,55,13,18,28,41,50,43,21,7,53,27,34,22,37,57,5,7,2862
1,9,17,4,8,4,6,2,3,17,9,10,16,20,16,9,7,4,20,23,10,6,11,19,10,2,40,0,5,0,5,10,23,12,9,11,16,12,1,3,16,11,16,4,44,2,7,2,18,5,23,19,7,5,11,10,4,16,29,5,8,2,1,4,2,1,0,1,7,0,4,20,0,1,3,0,1,4,14,6,4,10,30,21,20,16,16,21,17,18,9,21,6,8,26,24,22,3,10,13,4,9,4,4,8,0,13,35,4,2,16,18,17,20,6,6,17,9,18,27,26,33,27,6,10,22,12,12,19,19,20,3,12,1506
1,10,8,7,4,8,4,5,2,11,5,3,15,13,7,3,16,2,6,9,3,9,8,6,3,2,24,1,5,0,1,3,13,6,6,5,11,11,1,2,16,2,10,2,21,3,4,1,6,7,19,6,4,10,8,7,3,7,10,12,3,0,12,0,0,0,0,1,7,1,0,5,0,1,1,1,0,2,8,9,12,4,14,8,15,10,6,9,19,8,3,23,7,5,35,8,24,2,2,14,3,6,1,2,5,0,13,14,17,7,9,11,6,13,5,5,7,5,10,13,15,29,17,6,5,8,8,11,27,13,9,3,12,1000
1,11,9,6,4,6,5,5,1,9,6,6,7,5,9,7,9,2,3,4,2,1,7,12,8,5,7,0,7,0,0,6,12,7,4,5,12,6,5,0,16,5,3,4,21,1,4,0,13,2,13,11,4,9,14,15,5,4,4,18,2,0,14,0,4,1,0,2,2,0,0,19,0,1,1,3,1,7,2,8,11,13,12,7,31,3,6,5,6,19,6,22,3,9,15,9,41,1,5,9,0,2,5,3,5,0,4,13,27,8,2,14,7,19,10,3,12,9,22,11,15,11,10,19,9,9,5,8,23,4,5,5,13,987
1,12,6,11,7,15,13,5,6,11,12,3,5,6,4,7,9,0,2,0,0,5,12,12,5,2,7,1,9,0,0,12,10,12,3,7,15,6,3,3,14,1,2,8,35,1,2,0,9,9,16,5,11,5,18,16,6,8,21,14,6,0,30,0,6,0,2,4,0,0,0,17,0,0,1,2,0,2,8,13,9,9,11,6,28,2,11,4,5,10,1,33,5,6,14,10,24,0,9,8,1,3,1,7,4,0,18,21,33,16,4,12,4,16,7,4,17,24,23,10,12,15,8,18,5,11,4,12,56,10,8,2,21,1150
1,13,4,9,2,8,3,12,1,22,6,8,11,4,3,2,4,0,3,1,1,2,7,8,9,11,11,6,8,1,3,4,14,8,5,7,10,10,3,1,17,1,4,2,25,1,4,0,21,12,11,19,7,5,15,13,13,18,9,19,7,3,17,1,3,0,4,1,2,0,0,14,0,1,0,2,1,4,5,12,7,7,7,13,24,0,2,4,2,11,8,39,5,5,15,9,14,1,3,14,5,8,9,9,2,0,13,23,48,9,6,10,5,21,6,6,9,11,33,11,14,27,5,15,14,2,2,14,45,1,6,4,13,1121
1,14,2,6,0,7,6,9,3,22,2,2,4,2,2,0,2,1,3,2,2,1,8,9,6,9,4,1,11,1,4,7,18,9,6,5,6,6,2,0,22,1,8,8,18,1,0,0,10,6,20,17,9,7,11,20,4,15,16,14,6,0,16,1,0,4,1,2,1,0,0,8,2,0,0,1,1,0,5,13,5,8,3,10,34,6,4,4,8,8,5,32,10,8,32,11,15,1,7,10,0,3,1,10,3,0,15,16,40,7,5,17,2,9,5,6,13,18,36,9,11,18,9,16,19,10,1,9,60,2,5,2,16,1072
1,15,9,12,1,5,26,18,5,18,5,3,3,2,3,1,3,1,1,1,0,2,5,13,4,12,11,2,13,0,0,18,10,3,8,5,10,10,2,2,14,1,6,7,29,0,0,0,22,9,20,10,12,12,17,13,4,10,9,30,3,2,15,2,2,0,0,1,1,0,0,11,1,2,0,0,1,2,1,15,19,24,3,11,40,9,11,4,8,22,6,33,11,8,13,5,30,2,4,7,5,3,1,7,3,0,14,21,49,21,8,11,5,13,4,14,8,18,25,14,16,16,6,22,7,5,4,11,60,5,15,6,11,1229
