day,hour,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32008,A32009,S32002,S32003,S32001,S32006,S32007,S32004,S32005,S32008,D32002,D32021,D32020,D32023,D32022,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,D32001,C32008,C32009,A32012,A32011,A32010,A32017,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32013,D32018,D32019,C32011,C32010,C32013,C32015,D32005,D32003,M32023,M32020,D32000,D32007,D32006,M32024,D32004,D32009,D32008,B32018,B32019,M32037,B32012,M32038,B32010,B32011,B32016,B32017,B32014,B32015,K32002,K32003,K32001,B32009,B32008,M32009,M32005,B32003,M32007,B32005,B32004,M32002,B32006,B32013,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,B32000,M32006,B32002,M32001,B32007,M32003,C32014,total
3,13,0,5,2,8,4,2,4,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,1,7,5,0,5,14,5,4,1,0,2,3,4,6,0,14,2,8,4,11,4,9,5,1,0,0,4,0,0,3,4,0,0,2,8,5,0,5,3,7,5,0,0,4,0,7,8,4,0,0,11,0,0,0,2,5,0,0,4,0,6,2,0,4,5,0,0,0,0,0,0,0,0,0,10,0,6,0,4,0,0,278
3,14,0,2,2,3,2,8,3,2,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,16,1,1,7,8,6,0,1,1,0,6,3,8,0,10,1,9,5,1,1,4,3,2,0,0,5,0,0,10,7,0,0,2,13,5,0,5,6,10,5,1,0,7,0,3,2,8,0,2,6,0,0,0,1,8,0,0,2,0,8,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,255
3,15,0,0,1,5,4,2,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,3,4,6,7,4,1,1,2,2,4,3,10,0,7,5,6,12,6,6,7,6,3,0,0,4,0,0,11,2,0,0,4,9,8,0,4,6,3,8,2,0,2,0,12,3,3,0,3,11,0,0,0,2,4,0,0,13,0,2,1,0,2,8,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,271
3,16,0,7,5,6,6,17,0,6,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,11,11,2,1,9,13,6,2,3,6,0,1,0,29,0,14,8,7,5,5,16,25,13,2,0,0,16,0,0,16,8,0,0,8,13,5,0,10,6,11,9,1,0,12,0,6,7,6,0,5,8,0,0,0,6,9,0,0,20,0,6,6,0,10,6,0,0,0,0,0,0,0,0,0,9,0,8,0,8,0,0,480
3,17,0,8,0,14,7,9,2,2,2,0,11,0,0,0,0,0,0,0,0,15,0,0,0,0,4,25,1,3,18,14,6,1,3,7,5,3,8,69,0,23,12,20,15,18,11,20,24,1,0,0,23,0,0,22,16,0,0,8,31,21,0,22,18,37,7,3,0,6,0,16,14,2,0,13,9,0,0,0,5,31,0,0,11,0,16,7,0,14,4,0,0,0,0,0,0,0,0,0,8,0,11,0,4,0,0,760
3,18,0,4,1,4,14,3,1,2,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,9,16,5,1,5,11,7,7,0,3,0,5,8,22,0,15,11,19,7,11,12,15,4,1,0,0,10,0,0,15,10,0,0,5,14,6,0,16,14,7,8,3,0,6,0,10,2,16,0,4,10,0,0,0,6,14,0,0,7,0,15,10,0,5,7,0,0,0,0,0,0,0,0,0,9,0,5,0,6,0,0,474
3,19,0,3,0,3,5,11,1,0,2,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,7,1,10,6,2,0,2,3,3,2,0,15,0,13,9,12,12,7,10,6,3,0,0,0,13,0,0,12,4,0,0,3,21,10,0,6,2,4,7,0,0,5,0,11,5,0,0,4,3,0,0,0,2,9,0,0,4,0,4,7,0,2,2,0,0,0,0,0,0,0,0,0,11,0,4,0,3,0,0,334
3,20,0,0,0,2,4,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,2,2,2,6,1,0,0,3,4,1,0,11,0,9,1,5,5,7,2,10,2,2,0,0,0,0,0,8,3,0,0,1,3,2,0,3,1,6,11,1,0,2,0,4,4,2,0,3,4,0,0,0,1,1,0,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,2,0,0,182
3,21,0,0,0,4,6,2,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,2,3,2,2,5,0,0,5,2,1,0,5,0,2,1,5,1,6,4,2,4,1,0,0,4,0,0,7,3,0,0,4,3,2,0,0,2,2,6,0,0,4,0,5,5,4,0,1,4,0,0,0,0,4,0,0,2,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,156
3,22,0,7,1,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,0,1,4,4,0,0,2,0,3,0,9,0,0,0,2,3,2,2,3,0,0,0,0,0,0,0,10,15,0,0,6,0,1,0,1,1,0,1,1,0,5,0,2,1,2,0,1,2,0,0,0,1,2,0,0,1,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,123
3,23,0,0,0,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,5,0,4,0,1,3,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,4,1,0,1,7,4,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,76
4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,0,0,0,3,0,0,0,1,0,2,3,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,46
4,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
