day,hour,D32014,D32015,D32016,D32017,D32010,D32011,D32012,D32002,B32012,C32010,B32010,B32011,B32016,B32018,B32014,B32015,B32019,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32007,A32009,D32013,B32009,B32013,D32009,D32003,B32008,D32001,D32000,D32007,D32006,D32005,D32004,B32000,B32003,B32002,B32005,B32004,B32007,B32006,B32017,C32002,C32003,C32000,C32001,C32006,C32007,C32004,C32005,C32008,C32009,A32012,A32011,A32010,D32008,total
3,7,0,0,0,0,2,1,0,0,2,0,1,3,11,0,1,5,0,0,3,0,3,0,1,0,1,10,4,0,2,4,46,3,0,8,3,3,7,4,3,1,2,5,5,2,0,0,1,16,0,0,7,4,2,0,0,0,3,0,10,10,199
3,8,0,0,0,0,13,10,1,1,4,0,7,7,9,1,1,3,0,0,4,0,1,0,0,0,2,27,13,2,1,7,57,5,1,18,4,14,16,11,12,0,3,8,2,8,3,1,3,26,0,4,22,10,2,1,0,0,8,0,34,4,391
3,9,0,0,0,0,7,6,4,0,3,0,2,3,7,2,0,3,0,0,2,1,0,2,1,3,2,10,2,0,4,3,24,8,0,11,5,3,12,6,6,1,5,4,2,3,0,0,1,12,0,2,10,2,2,0,0,0,5,0,21,11,223
3,10,0,0,0,0,3,11,2,0,1,0,7,5,5,1,0,5,0,0,1,2,2,4,0,5,0,6,1,0,2,4,5,6,0,3,7,8,12,5,3,1,0,12,6,5,3,1,8,1,0,0,14,7,0,2,0,0,4,0,13,6,199
3,11,0,0,0,0,5,4,18,1,1,0,6,8,7,4,5,7,0,0,0,3,6,4,0,5,0,4,10,3,3,2,5,4,1,5,12,7,11,16,4,5,6,3,1,3,4,2,1,5,0,2,1,8,3,2,0,0,6,0,7,9,239
3,12,0,0,0,0,2,10,7,0,5,0,11,6,8,2,8,6,0,0,9,3,2,6,4,1,1,2,21,3,1,5,11,11,0,7,10,8,21,15,15,7,2,9,6,11,9,0,2,6,0,4,13,17,0,1,0,0,5,0,27,3,343
3,13,0,0,0,0,5,7,4,0,10,0,3,3,11,6,10,4,0,0,1,7,5,7,3,4,2,6,7,4,4,5,7,16,0,11,15,9,34,13,5,1,2,4,9,14,1,1,0,1,0,1,4,13,1,1,0,0,4,0,13,4,302
3,14,0,0,0,0,2,2,8,1,9,0,4,0,7,0,4,8,0,0,4,2,0,4,5,4,0,3,12,2,4,9,1,9,0,6,20,6,14,11,10,9,0,3,2,2,3,0,4,4,0,1,3,7,0,0,0,0,3,0,14,4,230
3,15,0,0,0,0,4,7,6,2,3,0,14,8,12,2,0,5,0,0,3,1,11,0,6,3,3,3,8,7,4,4,13,15,0,6,7,8,15,15,6,17,2,9,15,5,2,0,3,13,0,1,8,7,0,2,0,0,8,0,12,2,307
3,16,0,0,0,0,11,11,21,1,1,0,8,6,15,1,5,5,0,0,4,6,7,13,3,3,0,3,22,3,1,19,13,18,2,8,24,11,29,9,24,16,2,22,8,13,6,0,12,4,0,5,5,20,0,0,0,0,3,0,26,5,454
3,17,0,0,0,0,16,19,16,2,4,0,6,2,14,1,7,8,0,0,4,7,7,12,6,5,2,3,13,4,2,13,6,15,1,10,37,12,43,14,26,15,3,5,14,29,7,1,8,23,0,0,11,19,0,2,0,0,7,0,50,16,547
3,18,0,0,0,0,7,10,5,0,10,0,8,12,13,2,6,10,0,0,6,2,2,0,5,7,1,10,5,6,2,10,13,11,1,15,25,8,32,9,15,4,2,9,19,14,4,0,2,13,0,7,7,11,0,1,0,0,3,0,31,21,416
3,19,0,0,0,0,12,5,1,2,6,0,5,4,10,2,2,14,0,0,2,3,10,4,0,3,2,3,9,4,3,10,7,16,1,5,16,4,10,4,23,6,2,14,14,9,1,0,1,16,0,1,5,4,1,2,0,0,6,0,25,10,319
3,20,0,0,0,0,3,8,3,0,0,0,9,8,4,2,2,8,0,0,1,7,4,1,0,1,2,12,4,0,5,2,0,5,0,8,18,3,11,10,16,2,2,7,5,16,1,0,2,8,0,2,9,5,0,0,0,0,7,0,15,8,246
3,21,0,0,0,0,4,4,1,0,6,0,7,6,2,0,0,5,0,0,3,8,5,0,3,2,0,1,4,0,1,4,0,8,0,1,12,1,11,7,12,1,0,8,3,16,2,1,0,5,0,0,5,6,0,0,0,0,3,0,4,0,172
3,22,0,0,0,0,5,7,1,0,4,0,6,6,8,0,2,4,0,0,1,7,8,0,0,1,2,3,5,6,0,3,0,7,0,3,7,5,8,1,14,2,1,1,2,14,1,0,2,4,0,2,2,1,1,0,0,0,3,0,5,7,172
3,23,0,0,0,0,4,9,1,0,0,0,7,4,5,1,4,1,0,0,2,2,1,5,1,0,2,0,2,2,0,2,1,0,0,0,12,3,10,1,13,0,2,16,4,12,0,0,3,1,0,0,0,6,0,0,0,0,6,0,6,1,152
4,0,0,0,0,0,1,2,1,0,1,0,4,0,4,0,2,7,0,0,0,0,2,0,1,0,0,5,3,0,0,3,1,2,0,0,9,2,9,2,1,1,2,2,2,0,0,0,0,1,0,1,1,1,0,0,0,0,8,0,2,3,86
4,1,0,0,0,0,0,0,0,0,1,0,4,2,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,1,7,0,2,0,0,3,1,0,0,5,1,0,0,2,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,43
4,2,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,3,8,0,0,0,0,0,1,1,0,8,0,0,0,0,3,3,4,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,51
