day,hour,C32004,M32032,M32022,A32000,A32001,A32002,A32003,A32004,A32005,A32006,A32008,A32009,S32002,S32003,B32020,S32006,S32004,S32005,S32008,S32009,D32002,D32021,D32020,D32023,D32022,D32025,D32024,D32027,D32026,C32002,C32003,C32000,C32001,C32006,C32007,A32019,C32005,A32017,C32008,C32009,A32012,A32011,A32010,S32011,S32010,S32013,S32012,D32014,D32015,D32017,D32010,D32011,D32012,D32013,D32018,D32019,M32021,M32020,D32007,D32006,C32010,C32013,C32012,C32015,D32005,C32017,C32016,C32019,C32018,M32025,E32004,E32005,E32006,E32001,E32002,E32003,M32038,D32003,M32023,D32001,D32000,M32026,M32027,M32024,D32004,D32009,D32008,C32020,C32021,C32022,C32023,M32031,M32030,B32018,B32019,M32034,M32037,B32012,B32013,B32010,B32011,B32016,B32017,B32014,B32015,S32001,K32002,K32003,K32001,K32004,B32008,M32009,B32000,M32006,M32007,B32005,M32001,M32002,M32003,M32029,M32019,M32018,M32013,M32012,M32011,M32010,M32017,M32016,M32014,M32005,B32003,B32002,B32004,B32007,B32006,C32014,total
1,6,10,0,0,0,0,0,0,0,1,8,3,24,1,3,3,1,8,3,8,3,9,11,6,6,47,2,8,1,1,2,9,15,1,15,8,0,2,2,8,3,3,1,24,2,1,0,3,7,4,12,13,2,4,0,0,3,0,1,3,14,1,1,3,0,2,3,1,0,1,6,1,5,1,0,0,1,0,6,0,0,11,3,2,3,1,1,3,0,0,0,0,0,1,3,0,0,0,0,1,0,7,6,0,5,1,5,2,3,8,1,3,3,7,4,1,7,0,3,1,5,2,1,1,1,3,4,0,2,5,0,1,7,10,0,3,0,502
1,7,20,1,9,0,7,5,2,1,6,7,6,12,13,13,2,5,10,11,5,4,32,25,31,2,112,7,14,3,2,2,38,20,6,26,11,2,10,34,7,8,8,0,62,10,6,0,5,7,1,21,43,3,3,8,2,8,1,3,8,23,7,2,16,0,11,5,9,3,1,9,2,1,1,6,2,4,4,58,0,1,31,9,6,5,4,2,25,0,2,0,1,2,14,8,6,0,7,8,0,20,7,14,4,8,5,5,7,10,21,3,13,12,27,4,15,18,12,5,3,29,3,4,2,10,14,23,2,2,11,6,1,5,22,1,0,0,1373
1,8,15,1,20,1,11,12,3,2,11,10,15,14,18,34,5,16,16,34,4,5,30,34,20,14,74,15,28,12,6,15,57,18,14,47,27,3,9,10,20,20,15,1,101,25,10,2,2,16,9,23,34,11,11,10,1,13,1,4,22,30,16,6,16,2,28,8,22,0,2,22,1,12,6,10,5,7,6,67,1,0,65,24,8,6,8,19,52,0,7,0,2,11,23,18,5,0,30,6,6,33,18,29,3,9,13,6,25,10,27,24,37,34,22,13,31,25,17,19,11,29,7,8,20,40,27,25,8,5,19,1,4,12,30,3,5,0,2237
1,9,17,0,10,2,11,12,2,3,0,5,6,10,16,6,1,5,11,8,8,4,13,14,8,0,35,3,5,8,2,12,16,6,4,21,8,1,2,3,14,10,10,4,32,10,2,3,3,11,7,8,20,4,9,6,1,8,10,4,13,16,9,4,7,1,20,1,6,1,0,6,6,6,6,4,3,9,5,17,3,0,20,21,6,5,8,11,22,0,1,1,1,4,8,15,2,0,19,4,7,23,12,11,2,7,10,2,5,6,5,11,22,32,20,18,9,11,28,20,4,16,9,10,11,20,17,25,2,5,19,1,3,11,6,8,2,0,1195
1,10,3,0,9,0,6,6,5,3,5,6,2,9,4,4,2,5,7,0,2,1,8,3,5,4,6,3,5,3,0,3,14,5,4,6,10,3,4,4,11,0,6,3,12,5,1,0,1,8,2,11,11,6,5,7,3,8,2,3,10,4,5,1,2,1,16,0,1,1,2,10,0,1,3,3,1,1,6,6,3,1,11,11,8,4,6,3,1,0,0,1,2,1,2,10,2,0,14,1,3,6,8,9,1,3,6,2,1,2,5,3,8,10,10,11,12,5,7,11,5,11,5,7,8,7,17,11,9,2,8,5,3,5,3,5,2,0,665
1,11,11,1,9,4,2,3,8,4,4,3,2,6,5,4,1,4,3,5,1,2,13,4,6,3,14,1,5,9,0,2,7,6,1,7,3,1,4,3,12,3,12,1,8,6,2,4,0,7,3,9,10,9,15,5,2,3,0,1,11,7,17,0,2,1,17,1,1,1,1,5,1,3,2,1,0,3,3,10,0,0,9,4,5,3,12,5,8,4,1,2,2,1,4,12,8,0,11,5,4,7,10,12,0,8,13,3,4,1,5,4,18,9,3,21,10,5,9,11,10,8,9,10,9,18,14,12,13,8,4,12,9,6,6,3,3,1,778
1,12,10,3,8,3,1,11,10,9,3,8,3,11,4,8,3,6,3,4,3,2,7,18,0,2,3,1,14,6,3,5,10,8,2,1,15,3,1,5,15,4,10,2,18,0,2,0,1,20,8,10,12,8,13,18,9,8,3,3,18,9,15,1,1,5,13,5,3,1,0,2,1,0,5,0,1,2,2,6,3,0,13,5,4,8,9,7,18,5,2,3,1,2,3,7,4,0,16,6,4,16,10,14,2,13,4,1,2,1,4,1,10,20,7,23,7,9,5,17,7,4,5,26,6,9,18,3,6,7,8,15,12,5,5,4,3,1,901
1,13,7,1,1,4,3,5,17,5,1,6,5,4,5,4,1,4,5,1,0,3,8,8,5,1,8,1,11,8,0,7,7,7,2,10,14,3,6,1,15,3,1,5,21,0,0,0,2,11,5,4,13,6,20,12,3,9,8,0,14,11,10,1,3,3,15,3,2,0,0,2,0,4,0,0,1,4,6,7,3,1,11,4,2,5,5,6,8,1,2,0,4,4,3,8,1,0,16,4,2,19,9,14,1,2,14,2,3,6,6,1,6,14,9,22,7,7,9,10,14,8,9,27,5,7,6,2,9,4,8,20,5,6,3,3,7,1,808
1,14,5,1,4,4,2,2,4,7,2,12,2,5,1,3,2,8,2,4,0,1,9,4,3,9,7,2,8,8,0,7,5,3,4,3,9,0,0,4,10,3,4,4,19,1,2,0,2,8,8,13,8,5,12,7,3,8,6,8,11,3,10,2,2,2,19,4,1,0,0,2,0,2,0,1,2,1,1,8,9,1,10,2,3,8,9,10,7,0,4,2,0,2,3,8,3,0,19,2,3,11,8,11,1,8,14,2,1,0,4,1,13,12,2,23,2,8,2,8,9,5,13,22,7,8,5,3,6,3,9,17,7,1,1,2,1,0,713
1,15,9,0,5,5,1,3,5,11,1,8,4,3,3,3,3,8,2,1,1,1,6,8,4,4,11,7,6,4,1,7,8,4,3,5,7,4,1,4,12,0,2,4,17,1,2,0,1,7,3,3,11,2,6,15,3,12,7,6,17,10,9,4,6,0,23,0,1,0,0,3,5,3,2,0,0,1,4,4,3,0,24,1,1,2,9,3,11,3,2,0,0,1,4,7,7,0,18,5,5,9,10,11,0,6,10,0,1,0,6,0,16,15,6,34,4,8,5,18,11,11,9,26,12,11,7,3,12,5,6,17,19,1,5,2,2,3,804
1,16,11,3,8,21,5,17,13,21,1,8,5,4,1,5,11,13,3,4,1,1,13,19,7,8,19,13,8,11,4,20,17,5,4,2,34,5,8,2,24,2,3,5,51,2,0,0,1,11,20,12,17,15,37,20,15,18,4,13,18,13,51,5,0,0,21,2,0,0,0,3,0,1,5,5,3,2,2,4,14,0,13,4,20,8,25,7,9,4,9,1,1,5,4,17,16,0,43,7,13,12,9,16,2,15,14,1,2,3,2,3,17,21,11,57,11,12,6,27,27,14,21,31,14,15,14,8,13,12,6,53,29,12,20,10,5,3,1528
1,17,8,12,8,39,1,14,14,34,2,12,5,7,5,7,6,22,6,4,2,2,20,17,10,9,27,27,11,14,0,32,34,11,2,15,29,6,4,6,50,6,6,6,106,3,2,1,2,45,29,18,16,10,67,35,26,25,8,11,55,22,81,4,2,1,49,3,3,0,0,2,2,6,3,6,0,7,4,23,18,4,44,5,20,13,70,12,60,16,9,0,2,6,3,20,20,0,64,16,15,26,17,14,1,42,29,1,2,7,8,3,51,34,15,69,8,25,29,55,47,12,28,40,13,20,41,12,23,23,11,73,33,8,15,36,12,6,2535
